ID;DESC_1_TIER;WEB_DISPLAY_ORDER
0;Others;12
1;Chinese (Simplified);1
2;Chinese (Traditional);2
12;Chinese (including Simplified & Traditional);3
3;English;4
4;Filipino;5
5;French;6
6;Indonesian;7
7;Japanese;8
8;Korean;9
10;Thai;10
11;Vietnamese;11
