UA_PRIMARY_HARDWARE_TYPE;ID;IGNORE_DESC_1_TIER
Desktop;3;Desktops & Laptops
Tablet;2;Tablets
eReader;2;Tablets
Mobile Phone;1;Phones
TV;4;Smart TV
Games Console;4;Smart TV
Set Top Box;4;Smart TV
Media Player;0;Others / Unknown
Plug-in Modem;0;Others / Unknown
Embedded Network Module;0;Others / Unknown
Camera;0;Others / Unknown
Wireless Hotspot;0;Others / Unknown
*;0;Others / Unknown
Wristwatch;5;Wearables
Glasses;5;Wearables
